,symbol,date,open,high,low,close,volume,market,name,ranknow
25978,DOGE,2013-12-15,0.000559,0.000904,0.00029,0.000298,0,3488670,Dogecoin,35
25979,DOGE,2013-12-16,0.000299,0.000866,0.00015,0.000205,0,1970320,Dogecoin,35
25980,DOGE,2013-12-17,0.000207,0.000289,0.000116,0.000269,0,1526120,Dogecoin,35
25981,DOGE,2013-12-18,0.000267,0.000362,0.000205,0.000362,0,2160040,Dogecoin,35
25982,DOGE,2013-12-19,0.000395,0.00152,0.000328,0.001162,0,3487800,Dogecoin,35
25983,DOGE,2013-12-20,0.001143,0.001143,0.000662,0.000704,0,10967000,Dogecoin,35
25984,DOGE,2013-12-21,0.0007,0.0007,0.000354,0.000394,0,7251820,Dogecoin,35
25985,DOGE,2013-12-22,0.000391,0.000498,0.00028,0.000315,0,4333660,Dogecoin,35
25986,DOGE,2013-12-23,0.000313,0.00046,0.000294,0.000451,0,3682510,Dogecoin,35
25987,DOGE,2013-12-24,0.00045,0.000913,0.00045,0.000686,0,5636240,Dogecoin,35
25988,DOGE,2013-12-25,0.000686,0.000694,0.000558,0.000587,0,9086260,Dogecoin,35
25989,DOGE,2013-12-26,0.000588,0.000706,0.000543,0.000602,0,8217120,Dogecoin,35
25990,DOGE,2013-12-27,0.000603,0.000628,0.000497,0.000522,477422,8854330,Dogecoin,35
25991,DOGE,2013-12-28,0.000524,0.00054,0.000458,0.000459,341581,8051360,Dogecoin,35
25992,DOGE,2013-12-29,0.000459,0.000492,0.000399,0.000454,360974,7377480,Dogecoin,35
25993,DOGE,2013-12-30,0.000452,0.000459,0.000416,0.000416,276660,7598510,Dogecoin,35
25994,DOGE,2013-12-31,0.000418,0.000466,0.000408,0.000422,273400,7311460,Dogecoin,35
25995,DOGE,2014-01-01,0.000423,0.000451,0.000423,0.00044,307917,7701190,Dogecoin,35
25996,DOGE,2014-01-02,0.000449,0.000449,0.000331,0.000353,318037,8504140,Dogecoin,35
25997,DOGE,2014-01-03,0.000353,0.000376,0.000293,0.000303,303106,6940830,Dogecoin,35
25998,DOGE,2014-01-04,0.000305,0.000321,0.000256,0.000301,313907,6198170,Dogecoin,35
25999,DOGE,2014-01-05,0.0003,0.000312,0.000247,0.000271,245107,6318730,Dogecoin,35
26000,DOGE,2014-01-06,0.000271,0.00029,0.000226,0.000255,265529,5899650,Dogecoin,35
26001,DOGE,2014-01-07,0.000255,0.000284,0.00022,0.000225,212892,5726300,Dogecoin,35
26002,DOGE,2014-01-08,0.000223,0.000238,0.000203,0.000228,174256,5159610,Dogecoin,35
26003,DOGE,2014-01-09,0.000227,0.000269,0.000212,0.000246,314644,5415010,Dogecoin,35
26004,DOGE,2014-01-10,0.000246,0.000374,0.000241,0.000373,570553,6034890,Dogecoin,35
