,symbol,date,open,high,low,close,volume,market,name,ranknow
1696,ETH,2015-08-07,2.83,3.54,2.52,2.77,164329,0,Ethereum,2
1697,ETH,2015-08-08,2.79,2.8,0.714725,0.753325,674188,167911000,Ethereum,2
1698,ETH,2015-08-09,0.706136,0.87981,0.629191,0.701897,532170,42637600,Ethereum,2
1699,ETH,2015-08-10,0.713989,0.729854,0.636546,0.708448,405283,43130000,Ethereum,2
1700,ETH,2015-08-11,0.708087,1.13,0.663235,1.07,1463100,42796500,Ethereum,2
1701,ETH,2015-08-12,1.06,1.29,0.883608,1.22,2150620,64018400,Ethereum,2
1702,ETH,2015-08-13,1.22,1.97,1.17,1.83,4068680,73935400,Ethereum,2
1703,ETH,2015-08-14,1.81,2.26,1.75,1.83,4637030,109594000,Ethereum,2
1704,ETH,2015-08-15,1.8,1.88,1.57,1.69,2554360,109160000,Ethereum,2
1705,ETH,2015-08-16,1.68,1.7,1.09,1.57,3550790,102028000,Ethereum,2
1706,ETH,2015-08-17,1.58,1.58,1.19,1.2,1942830,95819700,Ethereum,2
1707,ETH,2015-08-18,1.22,1.33,1.09,1.09,1485680,88143200,Ethereum,2
1708,ETH,2015-08-19,1.17,1.32,1.17,1.26,1486240,84663900,Ethereum,2
1709,ETH,2015-08-20,1.25,1.53,1.25,1.46,2843760,90809000,Ethereum,2
1710,ETH,2015-08-21,1.48,1.56,1.35,1.4,2020970,107266000,Ethereum,2
1711,ETH,2015-08-22,1.4,1.48,1.35,1.38,948310,101404000,Ethereum,2
1712,ETH,2015-08-23,1.38,1.41,1.3,1.35,1589300,99894500,Ethereum,2
1713,ETH,2015-08-24,1.35,1.36,1.23,1.23,924920,97791600,Ethereum,2
1714,ETH,2015-08-25,1.23,1.24,1.13,1.14,1307180,89321900,Ethereum,2
1715,ETH,2015-08-26,1.13,1.2,1.06,1.16,1056750,82384400,Ethereum,2
1716,ETH,2015-08-27,1.17,1.19,1.14,1.15,686662,85106100,Ethereum,2
1717,ETH,2015-08-28,1.15,1.21,1.12,1.19,721872,83521700,Ethereum,2
1718,ETH,2015-08-29,1.19,1.21,1.15,1.18,375377,86887600,Ethereum,2
1719,ETH,2015-08-30,1.18,1.37,1.17,1.32,1337650,86145900,Ethereum,2
1720,ETH,2015-08-31,1.32,1.4,1.2,1.36,1447180,96251000,Ethereum,2
1721,ETH,2015-09-01,1.35,1.39,1.34,1.35,778862,98617200,Ethereum,2
1722,ETH,2015-09-02,1.35,1.35,1.26,1.29,883769,98504600,Ethereum,2
1723,ETH,2015-09-03,1.3,1.31,1.21,1.26,702991,94418700,Ethereum,2
1724,ETH,2015-09-04,1.26,1.3,1.24,1.27,474391,92234100,Ethereum,2
1725,ETH,2015-09-05,1.28,1.34,1.27,1.34,448453,93402300,Ethereum,2
1726,ETH,2015-09-06,1.34,1.37,1.29,1.3,491968,97625500,Ethereum,2
1727,ETH,2015-09-07,1.3,1.31,1.24,1.25,489014,94585300,Ethereum,2
1728,ETH,2015-09-08,1.25,1.28,1.23,1.24,427892,91020700,Ethereum,2
1729,ETH,2015-09-09,1.24,1.26,1.2,1.21,366748,90518300,Ethereum,2
1730,ETH,2015-09-10,1.21,1.22,1.14,1.17,662782,88230500,Ethereum,2
1731,ETH,2015-09-11,1.16,1.17,0.940675,0.982978,1942600,85144300,Ethereum,2
1732,ETH,2015-09-12,0.987228,1.11,0.96978,1.04,772430,72179000,Ethereum,2
1733,ETH,2015-09-13,1.04,1.04,0.902832,0.936003,644138,76193600,Ethereum,2
1734,ETH,2015-09-14,0.940566,0.949387,0.87176,0.875622,741085,68814400,Ethereum,2
1735,ETH,2015-09-15,0.875189,1.05,0.875189,0.94441,703390,64052400,Ethereum,2
1736,ETH,2015-09-16,0.941977,0.952698,0.901639,0.907175,615593,68963300,Ethereum,2
1737,ETH,2015-09-17,0.906865,0.909204,0.831132,0.874231,897940,66415200,Ethereum,2
1738,ETH,2015-09-18,0.874574,0.888102,0.833908,0.853685,484622,64071300,Ethereum,2
1739,ETH,2015-09-19,0.849603,0.911883,0.833784,0.882391,386988,62262700,Ethereum,2
1740,ETH,2015-09-20,0.881191,0.947741,0.873205,0.938445,508314,64600000,Ethereum,2
1741,ETH,2015-09-21,0.941496,0.957326,0.878301,0.919047,424039,69045900,Ethereum,2
1742,ETH,2015-09-22,0.919337,0.919337,0.865225,0.901796,487914,67444200,Ethereum,2
1743,ETH,2015-09-23,0.90356,0.90891,0.885136,0.893406,200541,66309600,Ethereum,2
1744,ETH,2015-09-24,0.896796,0.908571,0.79346,0.81361,842505,65836400,Ethereum,2
1745,ETH,2015-09-25,0.820031,0.825665,0.712745,0.736223,903457,60221400,Ethereum,2
